Experiment,Random_Cov_Err,DDC_Cov_Err,Cov_Improvement_%,Random_W1_Mean,DDC_W1_Mean,W1_Improvement_%,Random_KS_Mean,DDC_KS_Mean,KS_Improvement_%
small_k_100,0.5227827914933892,0.2090138755013481,150.11870156439323,0.0614123198610083,0.0581597996997359,5.592385424407098,0.063245,0.0728972205461933,-13.240862235723938
geometry_s_curve,0.0919277635990531,0.1206816840761309,-23.826250600661712,0.0239279616593681,0.0317983965938829,-24.75104337817099,0.0224000000000001,0.0188326639159825,18.942280815568257
small_k_200,0.4083154314685036,0.1396696315450547,192.34374498710477,0.03961610930505,0.0443752325895685,-10.724728653337234,0.044045,0.0516158901692006,-14.667750850334416
real_iris,0.3222423130763488,0.4457673152602486,-27.710645880751304,0.1287597556731066,0.1633332683921711,-21.167465182936162,0.0583333333333333,0.0990377678526148,-41.099911076203455
cluster_different_densities,0.694266284922073,1.1620918885592064,-40.257195514646995,0.0544708928160919,0.0582480096314664,-6.484542286117955,0.0314549999999999,0.0355711560669213,-11.571611727146369
geometry_swiss_roll,0.1397767167403075,0.1225154887265372,14.089016983231017,0.0355561257040808,0.0590310203994737,-39.76704881015778,0.0218666666666667,0.0297591057978855,-26.52108966183919
cluster_different_shapes,0.0989282136859832,0.1340561726844469,-26.203910118447837,0.0253719148210989,0.0282400063633933,-10.15612923519813,0.0170949999999999,0.0205860645298712,-16.958387188603375
marginal_multimodal,0.2427738017852296,0.0925385807131727,162.34874137276583,0.0448809468384913,0.0255122900791534,75.91892652225847,0.02703125,0.0223449914167238,20.972299769015954
proportional_k_3x,2.084670599600898,1.6668190816107875,25.068798563687267,0.2420529259464398,0.1929957429411612,25.41879020628692,0.1823966666666666,0.17610269771585,3.5740332388162654
proportional_k_4x,2.4856454829386063,0.8646217353178327,187.48357592755744,0.2777682581410431,0.1148616205350426,141.82860806521535,0.191185,0.1141371370934866,67.50463947891528
cluster_varied_16clusters,0.2828596557739179,0.2106584423574351,34.27406592799886,0.028977513583772,0.033950133115091,-14.646833679449244,0.02332,0.0188382009506703,23.791014126379363
geometry_concentric_rings,0.0830289814781789,0.3540919201993945,-76.5515741134607,0.0289195410661611,0.131177411899568,-77.95387128974424,0.0334064406440643,0.070789918538326,-52.80904211525842
cluster_varied_8clusters,0.3299765526378179,0.1196471034800844,175.79150939725295,0.0358321991162343,0.0324857137638221,10.301406263509683,0.0269349999999999,0.0191166676438774,40.897987566502046
real_fashion_mnist,1.644590326175702,6.458229165002849,-74.53496486176523,0.0435155183076858,0.249566693773111,-82.56357142462001,0.02315,0.1143596389905305,-79.75684410658474
use_case_outliers,1.20798716289175,1.7253221850645064,-29.98483568177235,0.06489643556821,0.11657674274159,-44.331575885541106,0.0202249999999998,0.0297292730398353,-31.96940950120237
use_case_low_density,0.6186576110042551,1.7606596214739496,-64.86216850441875,0.0444916810953893,0.1254668917842932,-64.53910632306022,0.0253384538453844,0.0580148732952789,-56.32421066160222
proportional_k_2x,2.579553324581272,1.1649614881415462,121.42820606854676,0.2460001037053252,0.2012955238818348,22.208432140663525,0.183705,0.1803131617232659,1.8810819156616532
small_k_50,1.0020511155033942,0.5664309903471162,76.90612494371545,0.0857667901426688,0.1149323537523927,-25.376286709099716,0.0918599999999999,0.1126036236157336,-18.42180824173343
two_moons_k_50,0.2701583927611508,0.0701240758832632,285.2576869759942,0.0901112532005756,0.0836777369591836,7.688444352325341,0.0935999999999999,0.0658683649733982,42.10159920897003
two_moons_k_200,0.0855860149060441,0.1272664659504895,-32.7505370194379,0.0427988242884898,0.0438024814868888,-2.291324975959219,0.0425999999999999,0.0332351195490571,28.17766440442513
cluster_imbalanced,0.1102401185403206,0.3582881715115206,-69.23143790227641,0.028141113222887,0.0454799360828944,-38.12411439718086,0.0251549999999998,0.0299503320812677,-16.010947952951483
real_wine,0.8853543960308065,0.9920719817880423,-10.757040589423305,0.099870546153731,0.0827723432315514,20.656903326209154,0.064390665514261,0.052172201886599,23.4194900460976
cluster_varied_4clusters,0.2303485501224029,0.062818567879447,266.6886366535084,0.0244920446288781,0.0256619905457508,-4.559061444539514,0.023395,0.016366744073234,42.94229747418079
cluster_varied_2clusters,0.2067442354954266,0.1531389947911503,35.00430493055191,0.046706952557979,0.0306691327892622,52.29303312525329,0.02682,0.0216902998997866,23.649742621879888
real_mnist,1.494726436651575,7.03485127381596,-78.75255099969183,0.0473476089537143,0.3397452294576732,-86.06378990831038,0.0251099999999999,0.1750456851949359,-85.6551734068528
marginal_skewed,0.33028242611209,0.3659296564866044,-9.74155271173528,0.0418441461060116,0.0913076904618792,-54.17237486312124,0.0248749999999999,0.046491729360805,-46.495859926064945
two_moons_k_100,0.1866284440049377,0.0821617862782342,127.14750063117623,0.1356059718075322,0.0433361747423851,212.91633978691317,0.0888,0.0433508298960685,104.8403691760773
